source,titles,links,covers
TOI,,https://timesofindia.indiatimes.com/technology/gaming/wordle-1070-puzzle-for-may-24-2024-hints-clues-and-solution-for-word-of-the-day/articleshow/110378778.cms,
TOI,,https://timesofindia.indiatimes.com/technology/mobiles-tabs/watch-latest-google-pixel-vs-apple-iphone-ad-that-features-mr-and-mrs-i/articleshow/110373741.cms,
TOI,,https://timesofindia.indiatimes.com/hot-picks/protein-powder-for-weight-loss-start-your-weight-loss-journey-with-the-right-supplement/articleshow/110370939.cms,
TOI,,https://timesofindia.indiatimes.com/hot-picks/flaunt-your-style-by-wearing-these-exclusive-black-watches-for-men/articleshow/110370725.cms,
TOI,,https://timesofindia.indiatimes.com/education/news/ap-eamcet-answer-key-2024-out-check-direct-links-to-download-and-raise-objection/articleshow/110356780.cms,
TOI,,https://timesofindia.indiatimes.com/education/news/tbse-tripura-board-10th-12th-results-today-when-and-where-to-check/articleshow/110379018.cms,
TOI,Preity looks dreamy in white shimmer gown at Cannes,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/preity-zinta-wins-the-internet-as-she-looks-dreamy-in-a-white-shimmer-dress-at-cannes-film-festival-heres-why-the-actress-is-there/articleshow/110381013.cms,"https://static.toiimg.com/thumb/imgsize-30748,msid-110381022,width-400,resizemode-4/110381022.jpg"
TOI,Bhansali: Almost lost Heeramandi script to David Dhawan,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sanjay-leela-bhansali-reveals-he-almost-lost-the-heeramandi-script-to-david-dhawan-heres-why/articleshow/110380348.cms,"https://static.toiimg.com/thumb/imgsize-30870,msid-110380348,width-200,resizemode-4/110380348.jpg"
TOI,Imran clarifies his stance on Ranbir's Animal,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/imran-khan-clarifies-his-stance-on-ranbir-kapoor-starrer-animal-says-he-would-never-critique-a-film-in-public/articleshow/110378716.cms,"https://static.toiimg.com/thumb/imgsize-43404,msid-110378706,width-200,resizemode-4/110378706.jpg"
TOI,Bollywood actors who underwent hair transplants,https://timesofindia.indiatimes.com/entertainment/hindi/web-stories/from-hrithik-to-akshay-bollywood-actors-who-transformed-their-looks-with-hair-transplants/photostory/110373724.cms,"https://static.toiimg.com/thumb/imgsize-50532,msid-110373740,width-200,resizemode-4/110373740.jpg"
TOI,Sanjay reacts to his divorce rumours with wife Poonam,https://timesofindia.indiatimes.com/tv/news/hindi/exclusive-kundali-bhagya-actor-sanjay-gagnani-reacts-to-his-divorce-rumours-with-wife-poonam-preet-says-with-gods-grace-sab-kuch-sahi-chal-raha-hai/articleshow/110379248.cms,"https://static.toiimg.com/thumb/imgsize-96376,msid-110379255,width-200,resizemode-4/110379255.jpg"
TOI,,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/malaika-arora-reacts-to-shah-rukh-khans-heatstroke-gives-tips-to-beat-the-heat/articleshow/110378348.cms,
TOI,Mobile Mayhem: Janhvi Kapoor gets shocked after toss phones at her & Orry during IPL match; internet writes: 'Kahan se aate hain ye log?',https://timesofindia.indiatimes.com/videos/etimes/bollywood/mobile-mayhem-janhvi-kapoor-gets-shocked-after-toss-phones-at-her-orry-during-ipl-match-internet-writes-kahan-se-aate-hain-ye-log/videoshow/110368503.cms,"https://static.toiimg.com/thumb/imgsize-58390,msid-110368503,width-600,resizemode-4/110368503.jpg"
TOI,Mobile Mayhem: Janhvi Kapoor gets shocked after toss phones at her & Orry during IPL match; internet writes: 'Kahan se aate hain ye log?',https://timesofindia.indiatimes.com/videos/etimes/bollywood/mobile-mayhem-janhvi-kapoor-gets-shocked-after-toss-phones-at-her-orry-during-ipl-match-internet-writes-kahan-se-aate-hain-ye-log/videoshow/110368503.cms,"https://static.toiimg.com/thumb/imgsize-58390,msid-110368503,width-200,resizemode-4/110368503.jpg"
TOI,"'Election is about protecting Constitution,' says Akhilesh Yadav",https://timesofindia.indiatimes.com/india/election-is-about-protecting-constitution-says-akhilesh-yadav/articleshow/110379988.cms,"https://static.toiimg.com/thumb/imgsize-1063237,msid-110380017,width-600,resizemode-4/110380017.jpg"
TOI,,https://timesofindia.indiatimes.com/india/agnipath-faces-ballot-test-in-jawan-heartland/articleshow/110378288.cms,
TOI,"Arvind Kejriwal PA Bibhav Kumar slapped me 7-8 times, called me 'neech aurat': Swati Maliwal",https://timesofindia.indiatimes.com/city/delhi/swati-maliwal-denies-assault-over-rajya-sabha-seat/articleshow/110375004.cms,"https://static.toiimg.com/thumb/imgsize-21672,msid-110378440,width-600,resizemode-4/110378440.jpg"
TOI,,https://timesofindia.indiatimes.com/city/kolkata/bangladesh-mp-was-killed-in-kolkata-flat-body-cut-taken-out-in-bags-cops/articleshow/110376283.cms,
TOI,Israeli Military Colonel Captured By Hamas; Group Contests IDF's Claim Of Officer's Death | Watch,https://timesofindia.indiatimes.com/videos/international/israeli-military-colonel-captured-by-hamas-group-contests-idfs-claim-of-officers-death-watch/videoshow/110379039.cms,"https://static.toiimg.com/thumb/imgsize-100908,msid-110379039,width-600,resizemode-4/110379039.jpg"
TOI,Israeli Military Colonel Captured By Hamas; Group Contests IDF's Claim Of Officer's Death | Watch,https://timesofindia.indiatimes.com/videos/international/israeli-military-colonel-captured-by-hamas-group-contests-idfs-claim-of-officers-death-watch/videoshow/110379039.cms,"https://static.toiimg.com/thumb/imgsize-100908,msid-110379039,width-200,resizemode-4/110379039.jpg"
TOI,"For Virat Kohli, perfection is a lonely pursuit",https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2024-for-virat-kohli-perfection-is-a-lonely-pursuit/articleshow/110377999.cms,"https://static.toiimg.com/thumb/imgsize-30464,msid-110377990,width-600,resizemode-4/110377990.jpg"
TOI,,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2024-sunrisers-hyderabad-eye-redemption-against-resurgent-rajasthan-royals/articleshow/110378695.cms,
TOI,"“It’s surreal..”: The tech titan, once called UK’s Steve Jobs, on HP deal fraud charges",https://timesofindia.indiatimes.com/technology/tech-news/its-surreal-the-tech-titan-once-called-uks-steve-jobs-on-hp-deal-fraud-charges/articleshow/110373840.cms,"https://static.toiimg.com/thumb/imgsize-102650,msid-110373844,width-600,resizemode-4/110373844.jpg"
TOI,,https://timesofindia.indiatimes.com/technology/tech-news/top-10-global-startup-cities-in-2024-heres-the-list/articleshow/110368463.cms,
TOI,"Stock market today: BSE Sensex near 75,500 level; Nifty50 shy of 23,000",https://timesofindia.indiatimes.com/business/india-business/stock-market-today-bse-sensex-nifty50-may-24-2024-dalal-street-indian-equities-lok-sabha-elections-us-federal-reserve-rbi/articleshow/110380592.cms,"https://static.toiimg.com/thumb/imgsize-111300,msid-110380656,width-600,resizemode-4/110380656.jpg"
TOI,,https://timesofindia.indiatimes.com/business/india-business/all-11-adani-stocks-rally-in-strong-market/articleshow/110377363.cms,
TOI,"US President Joe Biden, Kenya's William Ruto pledge protect democracy in Africa and beyond",https://timesofindia.indiatimes.com/world/us/us-president-joe-biden-kenyas-william-ruto-pledge-protect-democracy-in-africa-and-beyond/articleshow/110380268.cms,"https://static.toiimg.com/thumb/imgsize-1115564,msid-110380338,width-600,resizemode-4/110380338.jpg"
TOI,,https://timesofindia.indiatimes.com/world/us/free-free-palestine-hundreds-of-students-walk-out-of-harvard-commencements-after-weeks-of-protests/articleshow/110378593.cms,
TOI,"CBSE Exam Day Guidelines 2024: Dos & Don'ts, Reporting Time, Admit Card Link and More",https://timesofindia.indiatimes.com/education/news/cbse-exam-day-guidelines-2024-dos-donts-reporting-time-and-more/articleshow/107682638.cms,"https://static.toiimg.com/thumb/imgsize-127170,msid-107684660,width-600,resizemode-4/107684660.jpg"
TOI,,https://timesofindia.indiatimes.com/etimes/trending/dead-robot-spotted-by-nasa-spacecraft-on-mars-surface/articleshow/110252926.cms,
TOI,How to keep packaged milk fresh in Summers?,https://timesofindia.indiatimes.com/life-style/food-news/how-to-keep-packaged-milk-fresh-in-summers/articleshow/110366981.cms,"https://static.toiimg.com/thumb/imgsize-38960,msid-110367114,width-600,resizemode-4/110367114.jpg"
TOI,,https://recipes.timesofindia.com/web-stories/9-natural-snacks-that-help-beat-thyroid-fatigue/photostory/110365605.cms,
TOI,​7 cooling spices for summer (and how to use them effectively),https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/7-cooling-spices-for-summer-and-how-to-use-them-effectively/photostory/110361701.cms,"https://static.toiimg.com/thumb/imgsize-472826,msid-110361738,width-600,resizemode-4/110361738.jpg"
TOI,,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/5-states-including-delhi-ncr-issued-red-alert-for-intense-heatwave-know-what-precautions-you-need-to-take/articleshow/110351779.cms,
TOI,Bentley Motors plans India expansion with Skoda VW Group partnership: Details,https://timesofindia.indiatimes.com/auto/cars/bentley-motors-plans-india-expansion-with-skoda-vw-group-partnership-details/articleshow/110369525.cms,"https://static.toiimg.com/thumb/imgsize-57852,msid-110370068,width-600,resizemode-4/110370068.jpg"
TOI,,https://timesofindia.indiatimes.com/auto/cars/mahindra-xuv-700-ax5-select-launched-check-price-features-engine-options-and-more/articleshow/110353607.cms,
TOI,CUET UG May 24 exam postponed for candidates allotted test centres outside Silchar,https://timesofindia.indiatimes.com/education/news/cuet-ug-may-2024-exam-postponed-for-candidates-allotted-test-centres-outside-silchar/articleshow/110370195.cms,"https://static.toiimg.com/thumb/imgsize-68238,msid-110370503,width-600,resizemode-4/110370503.jpg"
TOI,,https://timesofindia.indiatimes.com/education/news/comedk-uget-result-2024-date-and-time-announced-at-comedk-org-check-details-here/articleshow/110357621.cms,
